index,brand,ultra_hd,full_hd,Price,Rating,inches,display_type,wifi,rom,value_score,smart_features,Company_amazon,Company_croma,Company_flipkart,ppi,resolution_width,resolution_height,fast_charging,ram,Spec_Score,size_category,charging_category,brand_category
200,sony,1,0,11.09727365,4.6,55,led,1,16,0.003903622,4,1,0,0,3,1,2,1,1,2,1,2,big
201,motorola,1,0,10.40426284,4.35,55,qled,1,32,0.007513864,4,0,0,1,3,1,2,3,1,3,1,1,big
202,haier,1,0,11.11231356,4.25,55,miniled,1,32,0.004377519,4,0,1,0,3,1,2,3,1,4,1,1,big
203,motorola,1,0,10.73639668,4.05,65,qled,1,32,0.005282724,4,0,0,1,2,1,2,3,1,3,1,1,big
204,samsung,1,0,10.27474072,4.05,43,led,1,19.2,0.007264574,3,0,0,1,4,1,2,1,1,2,0,2,big
205,xiaomi,1,0,10.08580911,4.4,43,led,1,32,0.008800367,4,1,0,0,4,1,2,1,1,1,0,2,big
206,samsung,1,0,12.20051221,4.4,65,oled,1,41.6,0.001836191,4,0,1,0,2,1,2,3,2,4,1,0,big
207,samsung,0,0,9.679718806,4.5,32,led,1,16,0.010413409,3,0,0,1,0,0,0,1,0,0,0,2,big
208,samsung,1,0,11.54248427,4.2,65,miniled,1,32,0.002895174,4,0,0,1,2,1,2,1,2,4,1,2,big
209,xiaomi,1,0,10.51867319,4.7,55,led,1,22.4,0.006986675,4,1,0,0,3,1,2,2,1,2,1,1,big
210,samsung,1,0,11.56171563,4.55,55,oled,1,38.4,0.003380032,4,0,0,1,3,1,2,3,2,4,1,1,big
211,samsung,1,0,12.05810614,4.6,65,miniled,1,35.2,0.00205344,4,0,0,1,2,1,2,3,2,4,1,1,big
212,hisense,1,0,10.62132735,4.55,55,qled,1,28.8,0.007435547,4,1,0,0,3,1,2,1,1,4,1,2,big
213,tcl,1,0,10.16203686,4.5,43,led,1,19.2,0.007992278,3,0,0,1,4,1,2,1,1,1,0,2,big
214,iffalcon,1,0,10.59663473,4.2,65,led,1,16,0.005355134,3,0,0,1,2,1,2,1,1,2,1,2,big
215,tcl,0,1,9.951849053,4.05,40,qled,1,19.2,0.008103859,3,1,0,0,1,0,1,1,0,1,0,2,big
216,tcl,1,0,10.62132735,4.7,55,qled,1,16,0.006992853,3,0,0,1,3,1,2,1,1,3,1,2,big
217,iffalcon,0,1,9.852194258,4.7,40,led,1,19.2,0.009400495,3,0,0,1,1,0,1,1,0,0,0,2,big
218,samsung,1,0,10.86839701,4.7,55,qled,1,19.2,0.005014288,3,1,0,0,3,1,2,1,1,2,1,2,big
219,samsung,1,0,10.32846113,4.2,43,led,1,19.2,0.006864989,3,0,1,0,4,1,2,1,1,1,0,2,big
220,samsung,1,0,10.59295296,4.6,43,qled,1,22.4,0.006233062,3,0,0,1,4,1,2,1,1,2,0,2,big
221,lumio,1,0,10.27505111,4.7,43,qled,1,16,0.00923825,4,0,0,1,4,1,2,1,2,3,0,2,big
222,xiaomi,1,0,10.93310697,4.25,65,qled,1,32,0.005084912,4,1,0,0,2,1,2,2,1,4,1,1,big
223,tcl,0,0,9.6152053,4,32,qled,1,16,0.010406938,4,1,0,0,0,0,0,0,0,0,0,2,big
224,thomson,0,0,9.121509158,4.3,32,led,1,16,0.014955515,4,0,0,1,0,0,0,1,1,0,0,2,big
225,lg,0,0,9.679781343,4.1,32,led,1,16,0.008974359,3,0,1,0,0,0,0,1,0,0,0,2,big
226,thomson,1,0,9.852194258,4.1,43,qled,1,22.4,0.009926838,4,0,0,1,4,1,2,3,1,1,0,1,big
227,foxsky,1,0,10.23995979,4.45,55,qled,1,16,0.009853923,4,1,0,0,3,1,2,2,1,3,1,2,medium
228,vu,1,0,10.81959827,4.15,55,qled,1,16,0.005728146,4,1,0,0,3,1,2,1,2,4,1,2,big
229,foxsky,0,0,9.121509158,4.1,32,qled,1,16,0.014955515,4,0,0,1,0,0,0,2,2,0,0,2,medium
230,infinix,1,0,9.903487553,4.25,43,qled,1,16,0.010413021,4,0,0,1,4,1,2,3,1,1,0,1,medium
231,acer,1,0,10.20359214,4.75,43,qled,1,16,0.010028149,4,1,0,0,4,1,2,3,1,3,0,1,big
232,realme,1,0,10.49127422,4.15,65,led,1,16,0.005764049,4,0,0,1,2,1,2,3,1,1,1,1,big
233,realme,1,0,10.27505111,4.25,50,qled,1,16,0.007914066,4,0,0,1,4,1,2,2,1,2,1,2,big
234,realme,1,0,9.814656339,4.15,43,led,1,16,0.010205476,4,0,0,1,4,1,2,2,1,1,0,2,big
235,sony,1,0,11.26434871,4.6,55,led,1,16,0.003715861,4,1,0,0,3,1,2,1,1,3,1,2,big
236,haier,1,0,10.8277663,4.55,65,qled,1,32,0.005958333,4,0,0,1,2,1,2,1,1,3,1,2,big
237,sony,1,0,11.91833057,4.6,55,miniled,1,32,0.002453497,4,0,0,1,3,1,2,3,2,4,1,1,big
238,haier,1,0,10.43385106,4.35,43,qled,1,32,0.007806708,4,0,0,1,4,1,2,1,1,3,0,2,big
239,motorola,1,0,10.27505111,4.55,50,miniled,1,16,0.008629608,4,0,0,1,4,1,2,1,1,2,1,2,big
240,samsung,1,0,10.16585182,4.3,43,led,1,22.4,0.008104158,3,0,0,1,4,1,2,1,1,1,0,2,big
241,lg,1,0,11.46153743,4.1,55,oled,1,25.6,0.003107696,4,0,0,1,3,1,2,3,1,4,1,1,big
242,hisense,1,0,9.961756461,4.7,43,qled,1,16,0.012193971,4,0,0,1,4,1,2,1,0,2,0,2,big
243,panasonic,1,0,10.17732422,4.55,43,led,1,16,0.008823529,4,0,1,0,4,1,2,1,1,2,0,2,big
244,foxsky,0,1,9.121509158,4.4,32,led,1,19.2,0.014955515,4,0,0,1,1,0,1,2,1,0,0,2,medium
245,marq,0,1,9.121509158,4.6,32,led,1,19.2,0.014955515,4,0,0,1,1,0,1,1,0,0,0,2,medium
246,lg,1,0,10.16585182,4.55,43,led,1,28.8,0.00857533,4,0,0,1,4,1,2,1,1,1,0,2,big
247,xiaomi,1,0,10.30895266,4.4,50,led,1,16,0.007920264,4,0,1,0,4,1,2,3,1,2,1,1,big
248,xiaomi,1,0,10.1266311,4.15,43,led,1,16,0.008798352,4,0,1,0,4,1,2,2,1,2,0,2,big
249,blaupunkt,1,0,9.798127037,4.15,49,led,1,22.4,0.009683871,4,0,0,1,4,1,2,3,0,1,0,1,medium
250,samsung,1,0,11.45095431,4.45,55,qled,1,32,0.003361528,4,0,1,0,3,1,2,1,2,4,1,2,big
251,ifflacon,1,0,10.71441777,4.45,65,led,1,19.2,0.005142336,3,0,0,1,2,1,2,1,1,2,1,2,big
252,akai,0,1,9.975389522,4.05,43,led,0,19.2,0.00716147,3,0,0,1,1,0,1,1,2,0,0,2,small
253,ifflacon,1,0,10.20359214,4.25,43,led,1,22.4,0.007555835,3,0,0,1,4,1,2,1,1,1,0,2,big
254,kodak,0,1,9.798127037,4.05,43,qled,1,19.2,0.009450525,4,0,0,1,1,0,1,3,0,1,0,1,medium
255,kodak,0,0,9.392661929,4.35,32,qled,1,16,0.013776148,4,0,0,1,0,0,0,3,0,0,0,1,medium
256,lg,1,0,11.8493977,4.1,75,miniled,1,44.8,0.002284302,3,0,0,1,1,1,2,1,2,4,1,2,big
257,lg,1,0,12.34579741,4,77,miniled,1,44.8,0.001542252,4,0,1,0,1,1,2,1,2,4,0,2,big
258,sony,1,0,12.34579741,4.25,77,led,1,38.4,0.001542252,4,0,1,0,1,1,2,1,2,4,0,2,big
259,tcl,1,0,11.35030065,4.5,75,qled,1,16,0.003547476,4,0,1,0,1,1,2,2,1,4,1,2,big
260,tcl,1,0,10.37320989,4.15,43,led,1,22.4,0.006226946,3.6,1,0,0,4,1,2,1,2,1,0,2,big
261,samsung,1,0,12.34579741,4.25,75,micro,1,44.8,0.001542252,4,0,1,0,1,1,2,2,2,4,1,2,big
262,tcl,1,0,10.59640971,4.65,55,led,1,22.4,0.005930233,3.6,1,0,0,3,1,2,1,1,2,1,2,big
263,tcl,1,0,10.98514017,4.55,65,qled,1,16,0.004782166,3,1,0,0,2,1,2,1,1,3,1,2,big
264,lg,1,0,12.10896134,4,55,oled,1,44.8,0.001785222,4,0,1,0,3,1,2,3,2,4,1,1,big
265,lg,1,0,12.34579741,4.75,77,oled,1,44.8,0.001542252,4,0,1,0,1,1,2,1,2,4,1,2,big
266,samsung,1,0,11.71579284,4.75,48,oled,1,44.8,0.003063515,4,0,1,0,4,1,2,1,2,4,0,2,big
267,samsung,1,0,11.52278668,4.45,55,qled,1,25.6,0.003172591,4,0,1,0,3,1,2,2,1,4,1,2,big
268,samsung,1,0,10.91128123,4.4,55,led,1,25.6,0.004657784,3,0,1,0,3,1,2,2,1,3,1,2,big
269,samsung,1,0,11.01848159,4.5,50,qled,1,22.4,0.004131825,4,0,1,0,4,1,2,1,1,2,1,2,big
270,samsung,1,0,12.25004647,4.25,77,led,1,38.4,0.001542252,3,0,1,0,1,1,2,1,2,4,0,2,big
271,samsung,1,0,10.71421775,4.4,55,led,1,25.6,0.005574572,3,0,0,1,3,1,2,2,1,3,1,2,big
272,lg,1,0,12.2144921,4.4,77,led,1,35.2,0.001542252,3,0,1,0,1,1,2,1,2,4,0,2,big
273,tcl,1,0,11.40756495,4.6,75,qled,1,32,0.003731153,3,0,0,1,1,1,2,2,2,4,1,1,big
274,samsung,1,0,11.88448902,4.3,65,oled,1,38.4,0.002283464,4,0,0,1,2,1,2,1,2,4,1,2,big
275,vw,1,0,10.59663473,4.45,65,qled,1,32,0.006341409,4,1,0,0,2,1,2,3,1,3,1,1,big
276,hisense,0,1,9.998797732,4.6,43,qled,1,19.2,0.009409519,4,0,0,1,1,0,1,1,2,1,0,2,big
277,motorola,1,0,10.93310697,4.55,65,miniled,1,44.8,0.005525099,4,0,0,1,2,1,2,1,1,4,1,2,big
278,croma,0,0,9.391911647,4.5,32,led,1,16,0.014261885,4,0,1,0,0,0,0,1,0,0,0,2,medium
279,samsung,1,0,11.8809725,4.45,55,oled,1,44.8,0.002463838,4,0,1,0,3,1,2,1,2,4,1,2,big
280,samsung,1,0,11.55013454,4.4,65,miniled,1,32,0.00309471,3,0,1,0,2,1,2,1,1,4,1,2,big
281,samsung,1,0,11.94334982,4.65,75,miniled,1,28.8,0.002237467,3,0,1,0,1,1,2,1,1,4,1,2,big
282,samsung,1,0,11.54239688,4.35,75,miniled,1,35.2,0.002956598,3,0,0,1,1,1,2,1,2,4,1,2,big
283,lg,1,0,10.59663473,4.75,50,led,1,19.2,0.006175154,3,1,0,0,4,1,2,1,1,2,1,2,big
284,samsung,1,0,11.17030839,4.25,55,qled,1,16,0.003771658,4,1,0,0,3,1,2,1,1,3,1,2,big
285,lg,1,0,12.18070868,4,65,oled,1,44.8,0.001600082,4,0,1,0,2,1,2,1,2,4,1,2,big
286,samsung,1,0,10.82955038,4.15,50,miniled,1,25.6,0.004849475,3,0,1,0,4,1,2,1,1,3,1,2,big
287,samsung,1,0,11.39629052,4,65,miniled,1,22.4,0.002966625,3,1,0,0,2,1,2,1,2,3,1,2,big
288,samsung,1,0,12.34579741,4.2,77,miniled,1,32,0.001542252,3,0,1,0,1,1,2,1,1,4,0,2,big
289,lg,1,0,11.53557697,4.5,65,miniled,1,32,0.003211458,3,0,1,0,2,1,2,1,1,4,1,2,big
290,samsung,1,0,11.70347144,4.75,75,miniled,1,35.2,0.002748161,3,1,0,0,1,1,2,1,2,4,1,2,big
291,samsung,1,0,12.34579741,4.65,77,oled,1,41.6,0.001542252,4,0,1,0,1,1,2,3,2,4,1,0,big
292,reliance,0,0,9.258273026,4,32,led,1,16,0.011439466,4,0,0,1,0,0,0,1,0,0,0,2,medium
293,samsung,1,0,11.37355994,4.75,55,qled,1,19.2,0.003221635,4,0,1,0,3,1,2,1,1,3,1,2,big
294,samsung,1,0,12.15473198,4.1,75,qled,1,35.2,0.001683246,4,0,1,0,1,1,2,2,2,4,1,2,big
295,samsung,1,0,11.80178934,4.75,65,qled,1,28.8,0.002704322,4,0,1,0,2,1,2,2,2,4,1,2,big
296,lg,0,0,9.76995616,4.75,32,led,1,16,0.009500543,3,1,0,0,0,0,0,0,2,0,0,2,big
297,samsung,1,0,12.17039883,4.7,65,oled,1,44.8,0.001996995,4,0,0,1,2,1,2,1,2,4,1,2,big
298,hisense,1,0,10.37320989,4.5,50,led,1,22.4,0.007314786,4,1,0,0,4,1,2,2,1,2,1,2,big
299,hisense,1,0,10.20325876,4.4,43,led,1,22.4,0.00831419,4,1,0,0,4,1,2,2,0,2,0,2,big
300,toshiba,0,0,9.679781343,4.15,32,qled,1,16,0.010900563,4,1,0,0,0,0,0,1,1,1,0,2,big
301,realme,1,0,10.02127059,4.2,43,led,1,32,0.008587048,4,0,0,1,4,1,2,2,1,1,0,2,big
302,haier,1,0,10.736201,4.6,55,led,1,19.2,0.004500978,4,0,0,1,3,1,2,1,1,1,1,2,big
303,realme,0,0,9.323669057,4.3,32,qled,1,16,0.014955515,4,0,0,1,0,0,0,1,0,1,0,2,big
304,xiaomi,1,0,11.51292546,4.3,75,miniled,1,32,0.003053031,3,0,0,1,1,1,2,2,1,4,1,1,big
305,realme,1,0,10.0647557,4.15,43,qled,1,16,0.009536576,4,0,0,1,4,1,2,3,1,2,0,1,big
306,philips,1,0,11.40756495,4.2,75,miniled,1,32,0.003406705,4,1,0,0,1,1,2,3,1,4,1,1,big
307,foxsky,1,0,11.08214255,4.65,75,miniled,0,19.2,0.003934676,3,0,0,1,1,1,2,3,0,2,1,1,medium
308,onida,1,0,10.34174248,4.3,55,led,1,19.2,0.005964709,4,1,0,0,3,1,2,1,1,1,1,2,medium
309,onida,1,0,10.1064284,4.25,43,qled,1,19.2,0.007459488,4,1,0,0,4,1,2,1,1,1,0,2,medium
310,bush,0,0,9.121509158,4,32,qled,1,16,0.014955515,4,0,0,1,0,0,0,1,1,0,0,2,small
311,bush,0,0,9.121509158,4.2,32,led,1,16,0.014955515,4,0,0,1,0,0,0,1,1,0,0,2,small
312,bush,1,0,9.903487553,4.65,43,led,1,22.4,0.009300465,4,0,0,1,4,1,2,1,2,1,0,2,small
313,vw,1,0,10.91871823,4.15,75,qled,1,16,0.004285404,4,0,0,1,1,1,2,3,1,3,1,1,big
314,lg,1,0,10.37320989,4.15,43,led,1,19.2,0.00596749,4,0,0,1,4,1,2,1,1,1,0,2,big
315,lg,1,0,12.15477935,4.35,75,miniled,1,28.8,0.001694219,4,0,0,1,1,1,2,1,1,4,1,2,big
316,uniboom,0,0,9.121509158,4.7,32,led,1,16,0.014955515,3,1,0,0,0,0,0,2,0,0,0,2,medium
317,rgl,0,1,9.797460148,4.25,40,led,1,19.2,0.008506143,4,0,0,1,1,0,1,2,1,0,0,2,small
318,onida,1,0,10.73639668,4.45,65,led,1,19.2,0.005320768,3,0,0,1,2,1,2,1,1,2,1,2,medium
319,onida,1,0,10.29214554,4.35,50,led,1,19.2,0.007373131,3,0,0,1,4,1,2,1,1,1,1,2,medium
320,onida,1,0,10.38899537,4.55,55,led,1,19.2,0.007280224,3,0,0,1,3,1,2,1,1,2,1,2,medium
321,croma,0,0,9.209439967,4.15,32,led,1,16,0.012877878,4,0,1,0,0,0,0,1,0,0,0,2,medium
322,onida,1,0,10.50506754,4.25,55,qled,1,19.2,0.00675361,4,1,0,0,3,1,2,1,1,3,1,2,medium
323,wobble,1,0,10.40426284,4.45,55,led,1,16,0.007012334,4,0,0,1,3,1,2,3,1,2,1,1,medium
324,foxsky,1,0,10.16585182,4.55,50,miniled,0,22.4,0.008225316,3,0,0,1,4,1,2,3,0,1,1,1,medium
325,foxsky,1,0,10.34174248,4.3,55,miniled,0,22.4,0.006658279,3,0,0,1,3,1,2,3,0,1,1,1,medium
326,foxsky,1,0,10.69194491,4.55,65,miniled,0,22.4,0.005273983,3,0,0,1,2,1,2,3,0,2,1,1,medium
327,realme,1,0,10.27505111,4,50,led,1,32,0.006482982,4,0,0,1,4,1,2,2,1,1,1,2,big
328,motorola,1,0,10.11050172,4.3,43,qled,1,32,0.008215781,4,0,0,1,4,1,2,2,1,1,0,2,big
329,elista,1,0,10.20440663,4.05,50,led,1,16,0.006744754,4,0,0,1,4,1,2,1,1,1,1,2,small
330,haier,0,0,9.679781343,4.3,32,led,1,16,0.008874296,4,1,0,0,0,0,0,0,0,0,0,2,big
331,haier,1,0,10.50482093,4.6,50,led,1,32,0.006303097,4,1,0,0,4,1,2,1,1,1,1,2,big
332,haier,1,0,10.29184041,4.6,43,led,1,32,0.007487284,4,1,0,0,4,1,2,1,1,1,0,2,big
333,coocaa,1,0,10.73639668,4.2,65,miniled,1,32,0.005843605,4,1,0,0,2,1,2,3,1,3,1,1,medium
334,panasonic,1,0,10.79939189,4.45,55,led,1,16,0.005540927,4,0,0,1,3,1,2,1,1,3,1,2,big
335,hisense,1,0,10.57620241,4.35,55,qled,1,16,0.006659862,4,0,0,1,3,1,2,2,1,3,1,2,big
336,hisense,1,0,10.89471877,4.15,65,qled,1,16,0.004851549,4,0,0,1,2,1,2,2,1,3,1,2,big
337,vzy,1,0,10.22197765,4.55,43,qled,1,16,0.008934545,4,1,0,0,4,1,2,1,1,2,0,2,small
338,kodak,1,0,10.96819829,4.75,65,miniled,1,19.2,0.005487164,4,1,0,0,2,1,2,0,1,4,1,2,medium
339,haier,1,0,11.7752205,4.25,75,miniled,1,44.8,0.002680975,4,1,0,0,1,1,2,3,2,4,1,1,big
340,vzy,0,0,9.679781343,4.2,32,led,1,16,0.00945591,4,1,0,0,0,0,0,1,0,0,0,2,small
341,panasonic,1,0,11.11216428,4.65,65,led,1,16,0.004165423,4,0,0,1,2,1,2,1,1,3,1,2,big
342,vzy,1,0,10.29977736,4.45,43,qled,0,16,0.00823381,3,0,0,1,4,1,2,3,1,2,0,1,small
343,acerpure,1,0,12.25486281,4.7,77,qled,1,32,0.001790485,4,0,0,1,1,1,2,3,2,4,0,1,medium
344,vzy,1,0,10.55843949,4.2,55,qled,0,16,0.006,3,1,0,0,3,1,2,3,1,2,1,1,small
345,onida,1,0,10.69194491,4.45,50,miniled,1,25.6,0.005764904,4,1,0,0,4,1,2,1,1,3,1,2,medium
346,toshiba,1,0,10.40399008,4,50,qled,1,16,0.006789936,4,1,0,0,4,1,2,1,1,2,1,2,big
347,toshiba,1,0,10.37320989,4.7,43,qled,1,16,0.00808065,4,1,0,0,4,1,2,1,0,2,0,2,big
348,acer,0,0,9.392661929,4.5,32,led,1,16,0.012376031,4,1,0,0,0,0,0,1,1,0,0,2,big
349,onida,1,0,10.29214554,4.45,55,led,1,19.2,0.006939218,4,0,0,1,3,1,2,1,1,1,1,2,medium
350,blaupunkt,1,0,10.4341158,4.5,55,qled,1,32,0.007279626,4,0,0,1,3,1,2,3,1,2,1,0,medium
351,thomson,1,0,10.71441777,4,65,qled,1,32,0.005689015,4,0,0,1,2,1,2,3,1,3,1,0,big
352,blaupunkt,1,0,10.73639668,4.2,65,qled,1,32,0.005295767,4,0,0,1,2,1,2,3,1,3,1,0,medium
353,kodak,1,0,10.40426284,4.45,55,qled,1,22.4,0.007686597,4,0,0,1,3,1,2,3,1,3,1,0,medium
354,thomson,1,0,11.08214255,4.65,75,qled,1,32,0.004793151,4,0,0,1,1,1,2,3,1,4,1,0,big
355,blaupunkt,1,0,11.09741002,4.35,75,qled,1,32,0.004218246,4,0,0,1,1,1,2,3,1,3,1,0,medium
356,lg,1,0,10.79939189,4.65,55,led,1,19.2,0.004935701,3,0,0,1,3,1,2,1,1,2,1,2,big
357,acer,0,0,9.510444964,4.2,32,qled,1,16,0.013378769,4,1,0,0,0,0,0,2,0,1,0,2,big
358,acer,1,0,10.08580911,4.75,43,qled,1,16,0.01088587,4,0,0,1,4,1,2,2,1,2,0,2,big
359,acer,1,0,10.4341158,4.05,55,qled,1,16,0.006670784,4,1,0,0,3,1,2,3,1,2,1,1,big
360,philips,1,0,11.19821472,4.4,75,qled,1,16,0.004038411,4,0,0,1,1,1,2,3,2,4,1,1,big
361,wobble,0,1,9.680344001,4.7,40,led,1,16,0.011163198,4,0,0,1,1,0,1,2,2,0,0,2,medium
362,wobble,0,0,9.392661929,4,32,led,1,16,0.012001,4,0,0,1,0,0,0,2,2,0,0,2,medium
363,croma,1,0,10.30865262,4,55,led,1,16,0.006135378,4,0,1,0,3,1,2,1,1,1,1,2,medium
364,acer,0,1,9.680344001,4.15,40,led,1,19.2,0.009338084,4,0,0,1,1,0,1,1,1,0,0,2,big
365,acer,1,0,10.1266311,4.65,50,led,1,16,0.009858394,4,1,0,0,4,1,2,3,1,2,1,1,big
366,acerpure,1,0,10.49127422,4.25,55,qled,1,16,0.006493236,4,1,0,0,3,1,2,3,1,2,1,1,medium
367,hisense,1,0,10.93130177,4.1,65,qled,1,25.6,0.004180829,4,0,0,1,2,1,2,3,1,3,1,1,big
368,hisense,1,0,10.57108613,4.25,55,qled,1,19.2,0.005777122,4,1,0,0,3,1,2,3,1,2,1,1,big
369,metz,1,0,10.81977828,4.35,55,qled,1,32,0.00548111,4,0,0,1,3,1,2,2,1,3,1,2,small
370,hisense,1,0,10.46284616,4.2,50,qled,1,16,0.006121749,4,1,0,0,4,1,2,3,1,2,1,1,big
371,realme,1,0,11.02679245,4.75,75,qled,1,22.4,0.004325274,4,0,0,1,1,1,2,2,1,2,1,2,big
372,vu,1,0,10.97678203,4.15,75,qled,1,16,0.004753073,4,0,0,1,1,1,2,1,1,4,1,2,big
373,blaupunkt,1,0,9.952277717,4.6,43,qled,1,16,0.010733844,4,0,0,1,4,1,2,3,1,1,0,1,medium
374,kodal,1,0,10.34174248,4.65,55,qled,1,16,0.007950256,4,0,0,1,3,1,2,3,1,2,1,1,small
375,thomson,1,0,10.1266311,4.6,50,qled,1,16,0.008280331,4,0,0,1,4,1,2,3,1,1,1,1,big
376,bpl,1,0,10.10606098,4.3,43,qled,1,22.4,0.007198857,4,0,0,1,4,1,2,1,2,1,0,2,small
377,croma,0,0,9.679781343,4.35,32,qled,1,16,0.010337711,4,0,1,0,0,0,0,3,0,0,0,1,medium
378,lg,1,0,12.34579741,4.6,77,qned,1,22.4,0.001542252,3,0,0,1,1,1,2,1,1,4,0,2,big
379,sony,1,0,11.10482188,4.2,50,led,1,16,0.003474207,4,1,0,0,4,1,2,1,1,2,1,2,big
380,sansui,0,0,9.509778075,4.25,32,led,1,16,0.011341735,4,0,0,1,0,0,0,1,2,0,0,2,medium
381,coocaa,1,0,10.1266311,4.15,55,led,1,32,0.007802312,4,0,0,1,3,1,2,1,1,1,1,2,medium
382,sansui,1,0,10.60883501,4.65,55,qled,1,32,0.00723512,4,0,0,1,3,1,2,2,1,3,1,2,medium
383,sansui,1,0,10.38871841,4.45,43,qled,1,32,0.007533087,4,1,0,0,4,1,2,2,1,2,0,2,medium
384,tcl,0,1,9.601774167,4.45,32,qled,1,16,0.011132522,4,0,0,1,0,0,0,1,0,0,0,2,big
385,tcl,1,0,11.28978191,4.7,65,qled,1,44.8,0.004288804,4,0,0,1,2,1,2,1,2,4,1,2,big
386,tcl,1,0,12.34579741,4.55,77,miniled,1,44.8,0.001582616,3,0,0,1,1,1,2,1,2,4,0,2,big
387,tcl,1,0,12.10071213,4,75,miniled,1,44.8,0.00180001,4,0,0,1,1,1,2,2,2,4,1,1,big
388,croma,1,0,9.998388558,4.3,43,qled,1,32,0.009581628,4,0,1,0,4,1,2,1,1,1,0,2,medium
389,kodak,1,0,10.6454249,4,65,qled,1,16,0.00533346,4,0,0,1,2,1,2,3,1,2,1,1,medium
390,panasonic,0,0,9.73979146,4.05,32,led,1,16,0.008110018,4,0,0,1,0,0,0,1,2,0,0,2,big
391,tcl,1,0,12.34579741,4.75,77,miniled,1,44.8,0.001542252,4,0,0,1,1,1,2,3,2,4,0,1,big
392,motorola,1,0,10.32548196,4.4,50,qled,1,32,0.007790419,4,0,0,1,4,1,2,3,1,2,1,1,big
393,sansui,1,0,10.51842992,4.6,50,qled,1,22.4,0.006715328,4,1,0,0,4,1,2,2,1,2,1,2,medium
394,croma,0,0,9.305195903,4,32,qled,1,16,0.014553393,4,0,1,0,0,0,0,1,0,1,0,2,medium
395,blaupunkt,0,1,9.546812609,4.05,40,led,1,19.2,0.009547111,4,0,0,1,1,0,1,3,0,0,0,1,medium
396,croma,1,0,9.903037451,4.25,43,led,1,32,0.009567284,4,0,1,0,4,1,2,1,1,1,0,2,medium
397,infinix,0,0,9.305650552,4.75,32,qled,1,16,0.014955515,4,0,0,1,0,0,0,1,2,0,0,2,medium
398,coocaa,0,0,9.121509158,4.6,32,led,1,16,0.014955515,4,0,0,1,0,0,0,1,0,0,0,2,medium
